Genero,PersonaMayor,Socio,Dependientes,Permanencia,ServicioTelefonico,VariasLineas,ServicioInternet,SeguridadLinea,CopiaSeguridadLinea,ProteccionDispositivo,ServicioTecnico,ServicioTV,ServicioPeliculas,Contrato,MetodoPago,RecargoMensual,TotalRecargo,Abandono
0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,-1.1603229160349193,-0.9949713816319788,0
1,0,0,0,34,1,0,0,1,0,1,0,0,0,2,1,-0.25962894194488056,-0.17387565380196848,0
1,0,0,0,2,1,0,0,1,1,0,0,0,0,0,1,-0.36266035595518026,-0.9603993947048205,1
1,0,0,0,45,0,2,0,1,0,1,1,0,0,2,3,-0.7465354629935548,-0.19540035830642521,0
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0.19736523310080334,-0.9411927353008437,1
0,0,0,0,8,1,1,1,0,0,1,0,1,1,0,0,1.1595456961969886,-0.6458737894996971,1
1,0,0,1,22,1,1,1,0,1,0,0,1,0,0,2,0.8089065291619364,-0.14742786303649233,0
0,0,0,0,10,0,2,0,1,0,0,0,0,0,0,1,-1.1636465100352518,-0.8748524921871078,0
0,0,1,0,28,1,1,1,0,0,1,1,1,1,0,0,1.330710787214099,0.33677864352376413,1
1,0,0,1,62,1,0,0,1,1,0,0,0,0,2,3,-0.2862176939475387,0.5318918111241626,0
1,0,1,1,13,1,0,0,1,0,0,0,0,0,0,1,-0.4922805219681378,-0.7487729153410027,0
1,0,0,0,16,1,0,2,2,2,2,2,2,2,1,2,-1.5225946620711341,-0.8638583354248315,0
1,0,1,0,58,1,1,1,0,0,1,0,1,1,2,2,1.182810854199314,1.5002385943846621,0
1,0,0,0,49,1,1,1,0,1,1,0,1,1,0,3,1.2941512532104444,1.215538502805714,1
1,0,0,0,25,1,0,1,1,0,1,1,1,1,0,0,1.3539759452164248,0.17782697949085266,0
0,0,1,1,69,1,1,1,1,1,1,1,1,1,1,2,1.611554480242174,2.4778134048070717,0
0,0,0,0,52,1,0,2,2,2,2,2,2,2,2,1,-1.4660935640654862,-0.556485555101189,0
1,0,0,1,71,1,1,1,1,0,1,0,1,1,1,3,1.393859073220412,2.251351436800182,0
0,0,1,1,10,1,0,0,0,0,1,1,0,0,0,2,-0.3177918369506949,-0.7748674801864057,1
0,0,0,0,21,1,0,1,0,1,1,0,0,1,0,0,0.8404806721650928,-0.1856204156444002,0
1,1,0,0,1,0,2,0,0,0,1,0,0,1,0,0,-0.8346107040023593,-0.9906443641110828,1
1,0,1,0,12,1,0,2,2,2,2,2,2,2,2,3,-1.4943441130683104,-0.9188511958562179,0
1,0,0,0,1,1,0,2,2,2,2,2,2,2,0,1,-1.4827115340671475,-0.9992542459128655,1
